"","s_id","locale","lon","lat","alt","plant_id","cult_id","year","flower","leaf","offset"
"1787","19297","45.267,15.283","15.283","45.267","325","108","10","1961",116,96,-20
"1986","19297","45.267,15.283","15.283","45.267","325","108","10","1962",130,113,-17
"2202","19297","45.267,15.283","15.283","45.267","325","108","10","1963",127,116,-11
"2547","19297","45.267,15.283","15.283","45.267","325","108","10","1964",123,109,-14
"2826","19297","45.267,15.283","15.283","45.267","325","108","10","1965",127,107,-20
"3018","19297","45.267,15.283","15.283","45.267","325","108","10","1966",120,103,-17
"3300","19297","45.267,15.283","15.283","45.267","325","108","10","1967",116,103,-13
"3737","19297","45.267,15.283","15.283","45.267","325","108","10","1968",111,100,-11
"4118","19297","45.267,15.283","15.283","45.267","325","108","10","1969",127,115,-12
"4625","19297","45.267,15.283","15.283","45.267","325","108","10","1970",122,115,-7
"5057","19297","45.267,15.283","15.283","45.267","325","108","10","1971",114,109,-5
"5571","19297","45.267,15.283","15.283","45.267","325","108","10","1972",124,113,-11
"6077","19297","45.267,15.283","15.283","45.267","325","108","10","1973",123,113,-10
"6656","19297","45.267,15.283","15.283","45.267","325","108","10","1974",110,106,-4
"7052","19297","45.267,15.283","15.283","45.267","325","108","10","1975",117,111,-6
"7718","19297","45.267,15.283","15.283","45.267","325","108","10","1976",132,112,-20
"8229","19297","45.267,15.283","15.283","45.267","325","108","10","1977",115,106,-9
"8657","19297","45.267,15.283","15.283","45.267","325","108","10","1978",138,111,-27
"9241","19297","45.267,15.283","15.283","45.267","325","108","10","1979",131,115,-16
"9902","19297","45.267,15.283","15.283","45.267","325","108","10","1980",120,114,-6
"10447","19297","45.267,15.283","15.283","45.267","325","108","10","1981",115,106,-9
"11090","19297","45.267,15.283","15.283","45.267","325","108","10","1982",130,120,-10
"11780","19297","45.267,15.283","15.283","45.267","325","108","10","1983",115,108,-7
"12397","19297","45.267,15.283","15.283","45.267","325","108","10","1984",119,113,-6
"12878","19297","45.267,15.283","15.283","45.267","325","108","10","1985",121,112,-9
"13524","19297","45.267,15.283","15.283","45.267","325","108","10","1986",119,111,-8
"14219","19297","45.267,15.283","15.283","45.267","325","108","10","1987",123,113,-10
"14694","19297","45.267,15.283","15.283","45.267","325","108","10","1988",120,111,-9
"15313","19297","45.267,15.283","15.283","45.267","325","108","10","1989",108,99,-9
"15954","19297","45.267,15.283","15.283","45.267","325","108","10","1990",108,102,-6
"15959","19297","45.267,15.283","15.283","45.267","325","108","10","1991",113,98,-15
"15964","19297","45.267,15.283","15.283","45.267","325","108","10","1992",119,110,-9
"15967","19297","45.267,15.283","15.283","45.267","325","108","10","1993",121,117,-4
"15972","19297","45.267,15.283","15.283","45.267","325","108","10","1994",114,104,-10
"15976","19297","45.267,15.283","15.283","45.267","325","108","10","1995",128,112,-16
"15981","19297","45.267,15.283","15.283","45.267","325","108","10","1996",126,118,-8
"15985","19297","45.267,15.283","15.283","45.267","325","108","10","1997",129,112,-17
"15989","19297","45.267,15.283","15.283","45.267","325","108","10","1998",119,104,-15
"15994","19297","45.267,15.283","15.283","45.267","325","108","10","1999",120,105,-15
"15998","19297","45.267,15.283","15.283","45.267","325","108","10","2000",124,107,-17
"16002","19297","45.267,15.283","15.283","45.267","325","108","10","2001",121,89,-32
"16006","19297","45.267,15.283","15.283","45.267","325","108","10","2002",124,87,-37
"16011","19297","45.267,15.283","15.283","45.267","325","108","10","2003",128,109,-19
"16015","19297","45.267,15.283","15.283","45.267","325","108","10","2004",132,111,-21
"16024","19297","45.267,15.283","15.283","45.267","325","108","10","2006",137,114,-23
"16029","19297","45.267,15.283","15.283","45.267","325","108","10","2007",126,107,-19
"16034","19297","45.267,15.283","15.283","45.267","325","108","10","2008",120,102,-18
"16040","19297","45.267,15.283","15.283","45.267","325","108","10","2009",122,104,-18
"16044","19297","45.267,15.283","15.283","45.267","325","108","10","2010",129,105,-24
"16047","19297","45.267,15.283","15.283","45.267","325","108","10","2011",126,101,-25
"16050","19297","45.267,15.283","15.283","45.267","325","108","10","2012",123,96,-27
