"species","Estimate","SE","Q2.5","Q25","Q75","Q97.5"
"alleghaniensis",2.75728398577181,0.282187645077575,2.19977869734109,2.56924175035105,2.9458138840585,3.29828121608016
"americana",3.10046961675196,0.128171309926385,2.85148296600865,3.01243868743648,3.1891337572881,3.3507661244994
"angustifolia",2.8570115706693,0.149348793919307,2.56422080352186,2.75520019380513,2.95568067317575,3.15363862032641
"gracilis",3.13233278095962,0.135692853006795,2.87096031942946,3.04176851718836,3.22505909675741,3.3953483043412
"hortulana",3.40595124359002,0.126135796519463,3.1603660925049,3.31930034108324,3.49212869936929,3.65183508758183
"maritima",2.2736658837499,0.155676702255823,1.96399702100811,2.17116286980498,2.37821311051782,2.57248053767351
"mexicana",2.30657196247448,0.165391434439034,1.97586985041186,2.19429638945907,2.41985885837222,2.62711941301389
"munsoniana",2.95842494782462,0.116491350457032,2.72942086381194,2.88145207085198,3.03765989317533,3.18954319626487
"nigra",2.74160955972006,0.125174380930114,2.49467775642959,2.65924822608274,2.82806660202158,2.98297573263628
"rivularis",3.56618831917283,0.123208897350959,3.32488429217841,3.48311690626439,3.64919940140033,3.81044144661409
"subcordata",4.28962458950325,0.189864948942668,3.91932976826741,4.16103401001068,4.41886210258101,4.65004917201909
"texana",3.44392457820793,0.262815902514709,2.92787438811335,3.26804523238579,3.61727231909045,3.95925434633116
"umbellata",2.75378150193287,0.160349542404334,2.43848499889864,2.64822326924707,2.86328863660482,3.06469763098905
