"Year","AP"
"1964",689.2
"1965",622.1
"1966",806.1
"1967",1119.7
"1968",871
"1969",1026.7
"1970",861.7
"1971",998.1
"1972",1227.7
"1973",1235.3
"1974",1077.7
"1975",1356.2
"1976",1113.6
"1977",1289.8
"1978",954.3
"1979",1436.7
"1980",859
"1981",1220
"1982",1113.9
"1983",1381.5
"1984",1279.7
"1985",947
"1986",1163.6
"1987",1003.1
"1988",1044.7
"1989",1298.1
"1990",1195
"1991",1380.6
"1992",1110.3
"1993",1277.4
"1994",1225.8
"1995",1030.7
"1996",1378.5
"1997",908.4
"1998",954.4
"1999",1033.5
"2000",1080.1
"2001",808.2
"2002",539.7
